date,O/N,1M,3M,6M
2021-12-21,1.309,1.05802,0.54626,0.27848
2021-12-22,1.298,1.08866,0.56046,0.28556
2021-12-23,1.31,1.10337,0.57459,0.29257
2021-12-24,1.31,1.11805,0.58883,0.29966
2021-12-27,1.239,1.15304,0.63192,0.31764
2021-12-28,1.291,1.15577,0.64539,0.32787
2021-12-29,1.317,1.18911,0.6594,0.33487
2021-12-30,1.342,1.20746,0.67369,0.34204
2021-12-31,0.992,1.21184,0.68098,0.34749
2022-01-03,1.31,1.1934,0.69794,0.36155
2022-01-04,1.187,1.19709,0.72669,0.36667
2022-01-05,1.817,1.19682,0.73945,0.37674
2022-01-07,1.851,1.26435,0.77881,0.39637
2022-01-10,1.796,1.3515,0.8208,0.42414
2022-01-11,1.719,1.36545,0.85474,0.43154
2022-01-12,1.679,1.37623,0.87272,0.44537
2022-01-13,1.726,1.39096,0.88979,0.45444
2022-01-14,1.75,1.4055,0.90781,0.46378
2022-01-17,1.706,1.45261,0.94362,0.48958
2022-01-18,1.777,1.46059,0.97701,0.49614
2022-01-19,1.798,1.47025,0.99439,0.51092
2022-01-20,1.741,1.49847,1.01232,0.52063
2022-01-21,1.785,1.51343,1.02969,0.53006
2022-01-24,1.753,1.55987,1.06329,0.55607
2022-01-25,1.84,1.56597,1.10188,0.56253
2022-01-26,1.973,1.57435,1.1208,0.57846
2022-01-27,1.92,1.61271,1.14122,0.58911
2022-01-28,1.68,1.63471,1.161,0.59947
2022-01-31,1.817,1.66991,1.18891,0.62336
2022-02-01,1.803,1.74506,1.2439,0.63987
2022-02-02,1.985,1.74707,1.25004,0.64622
2022-02-03,2.048,1.75484,1.27032,0.65705
2022-02-04,1.916,1.77868,1.29097,0.66818
2022-02-07,1.78,1.80862,1.31614,0.69568
2022-02-08,1.747,1.80781,1.33714,0.70154
2022-02-09,2.079,1.80605,1.34653,0.71853
2022-02-10,2.171,1.81034,1.3605,0.72982
2022-02-11,2.208,1.82246,1.3693,0.7416
2022-02-14,2.086,1.87091,1.40849,0.77341
2022-02-15,2.158,1.87773,1.43542,0.78051
2022-02-16,2.269,1.88633,1.44971,0.8005
2022-02-17,2.353,1.91172,1.46534,0.81277
2022-02-18,2.179,1.93262,1.48223,0.82551
2022-02-21,2.283,1.97206,1.51155,0.85638
2022-02-22,2.27,1.9819,1.54199,0.8641
2022-02-23,2.125,1.99075,1.55741,0.88567
2022-02-24,2.342,2.01482,1.5711,0.89718
2022-02-25,2.443,2.03385,1.58705,0.90989
2022-02-28,2.174,2.0854,1.6225,0.94457
2022-03-01,2.533,2.14132,1.67013,0.97706
2022-03-02,2.592,2.16743,1.68371,0.99104
2022-03-03,2.573,2.18914,1.69889,1.00536
2022-03-04,2.389,2.20792,1.70862,1.01404
2022-03-07,2.408,2.25868,1.76367,1.05924
2022-03-08,2.449,2.28115,1.78155,1.07256
2022-03-09,3.119,2.30626,1.80014,1.08611
2022-03-10,3.084,2.34347,1.82083,1.10338
2022-03-11,3.175,2.37613,1.83486,1.11435
2022-03-14,3.099,2.47991,1.90298,1.17318
2022-03-15,3.151,2.51615,1.92349,1.19033
2022-03-16,3.185,2.55168,1.9446,1.20774
2022-03-17,3.135,2.58446,1.96599,1.22534
2022-03-18,3.247,2.61244,1.979,1.23594
2022-03-21,3.212,2.72708,2.05237,1.29654
2022-03-22,3.236,2.76032,2.07362,1.3143
2022-03-23,3.192,2.7949,2.09526,1.33222
2022-03-24,3.203,2.83308,2.11628,1.34988
2022-03-25,3.005,2.8639,2.12841,1.36018
2022-03-28,3.031,2.92423,2.19501,1.41767
2022-03-29,3.043,2.92815,2.21444,1.43444
2022-03-30,3.35,2.93221,2.23373,1.45126
2022-03-31,3.263,2.94595,2.25616,1.46183
2022-04-01,3.395,2.98116,2.31072,1.47975
2022-04-04,3.434,3.06156,2.35852,1.53578
2022-04-05,3.477,3.07348,2.38363,1.55471
2022-04-06,3.724,3.08599,2.39587,1.5739
2022-04-07,4.339,3.17373,2.4235,1.59447
2022-04-08,4.327,3.23619,2.44483,1.61817
2022-04-11,4.276,3.37616,2.53494,1.68831
